 ”,w
评弹,n
评点,v
评定,vn,v
评分,v,vn
评功,v
评估,vn,v
评估费,n
评估关,n
评话,n
评级,vn
评价,v,vn
评奖,vn,v
评介,v
评剧,n
评剧团,n]nt
评剧院,n]nt
评论,n,vn,v
评论部,n,n]nt
评论家,n
评论界,n
评论性,n
评论员,n
评判,v,vn
评聘,vn
评审,vn,v
评审团,n
评书,n
评述,vn,v
评说,vn,v
评头论足,i
评头品足,i
评为,v
评委,n
评委会,n
评析,vn,v
评析性,n
评先树优,l
评选,vn,v
评选者,n
评议,v,vn
评语,n
屏幕,n
屏息,v
屏障,n
坡,n
坡地,n
坡改梯,l
坡坎,n
泼,v
泼辣,a
泼墨,v
泼洒,v
颇,d
颇具规模,l
颇为,d
婆婆,n
婆姨,n
婆娑,z
破,a,v
破案,v
破产,v,vn
破产案,n
破除,v
破船,n
破釜沉舟式,b
破格,v,vd
破罐子破摔,l
破坏,v,vn
破坏性,n
破坏者,n
破获,v,vn
破旧,an,a
破烂,an,a
破烂不堪,l
破路战,n
破门,v
破门而入者,n
破灭,v,vn
破伤风,n
破碎,v
破天荒,i
破土动工,l
破绽,n
魄力,n
迫,Vg
迫不及待,i
迫害,vn,v
迫降,v
迫近,v
迫切,ad,a
迫切性,n
迫使,v
迫于,v
迫在眉睫,i
剖,v
剖腹产,v
剖开,v
剖示,v
剖析,v,vn
剖验,vn
扑,v
扑鼻,v
扑打,v
扑将,v
扑克,n
扑面,v
扑面而来,l
扑灭,v
扑朔迷离,i
扑腾,v
扑簌簌,z
铺,v
铺陈,v
铺垫,n,vn
铺盖,v,n
铺盖卷,n
铺轨,v
铺架,v
铺开,v
铺路,v
铺面,n
铺平,v
铺设,v,vn
铺摊,v
铺天盖地,i
铺位,n
铺叙,v
铺张浪费,i
铺子,n
仆其格,nr
仆人,n
莆田,ns
莆田县,ns
葡,j
葡萄,n
葡萄干,n
葡萄核,n
葡萄酒,n
葡萄苗,n
葡萄藤,n
葡萄牙,ns
葡萄园,n
菩萨,n
蒲,nr
蒲包,n
蒲公英,n
蒲公英奖,nz
蒲团,n
蒲圻,ns
蒲圻市,ns
朴,nr
朴初,nr
朴方,nr
朴实,a,an
朴实无华,i
朴素,a
朴素无华,i
朴拙,a
普遍,ad,a
普遍化,vn
普遍性,n
普查,vn,v
普尔,nz
普尔尼亚奇科,ns
普法,vn
普法教育,l
普高,j
普吉,ns
普及,v,vn,a,an
普及部,n]nt
普及率,n
普及型,b
普及性,n
普件,n
普建,v
普降,v
普九,j
普卡拉姆,ns
普拉夫希奇,nr
普拉塔诺河,ns
普兰,nz
普兰店,ns
普雷斯勒,nz
普里马科夫,nr
普利茅斯,ns
普林斯顿,ns
普吕厄,nr
普罗迪,nr,ns
普米族,nz
普宁,ns
普普通通,z
普斯托沃伊坚科,nr
普天同庆,i
普通,a
普通话,n
普通机,n
普通人,n
普通型,b
普陀,ns
普照,v
普者黑,ns
普洲,nr
浦,j,nr
浦安,nr
浦北县,ns
浦东,ns,nr
浦东队,nt]nt
浦江,ns
浦泉,nr
浦项,ns
浦项制铁队,nt]nt
谱,Ng,v
谱儿,n
谱写,v
曝光,v,vn
曝光度,n
曝晒,v
瀑,Ng
瀑布,n
期,q,Ng,Vg
期待,vn,v
期货,n
期货价,n
期价,n
期间,f
期刊,n
期满,v
期末,t
期盼,v,vn
期权,n
期望,vn,v
期望值,n
期限,n
期玉,nr
欺负,v,vn
欺凌,v,vn
欺骗,vn,v
欺骗性,n
欺行霸市,l
欺压,v
欺诈,vn,v
欺诈性,n
栖,Vg
栖凤,nr
栖居,v
栖身,v
栖息,v
栖息地,n
栖止,v
戚,nr
妻,Ng
妻儿,n
妻舅,n
妻子,n
七,m
七八,m
七八百亿,m
七八点,t
七八千,m
七八十,m
七百,m
七百八十八亿,m
七百二十九万,m
七百四十六亿,m
七百四十五,m
七彩,n
七大,j
七点三亿,m
七坊镇,ns
七国集团,l
七虎,nr
七老八十,l
七里河,ns
七连冠,j
七千,m
七千八百万,m
七千二百,m
七千万,m
七人,n
七人制,n
七日,t
七色花,nz
七十,m
七十八,m
七十二,m
七十二行,l
七十六点九六亿,m
七十六万亿,m
七十万,m
七十五,m
七十五亿,m
七十一,m
七十亿,m
七万,m
七五,m
七旬,m
七一,t
七亿,m
七月,t
七纵八横,l
七嘴八舌,i
凄惨,a
凄惶,a
凄美,a
凄凄惨惨,z
凄然,z
漆,n,v
漆器,n
漆器业,n
沏茶,v
其,r,u
其超,nr
其次,c,r
其二,r
其凡,nr
其芳,nr
其峰,nr
其父,r
其后,t
其间,f,s
其乐融融,i
其林,nr
其美泽巴,nr
其妻,r
其侨,nr
其三,r
其时,r
其实,d
其实不然,l
其四,r
其他,r
其他人,r
其它,r
其兴,nr
其叶,r
其一,r
其意,n
其因,r
其庸,nr
其余,r
其真,nr
其贞,nr
其中,r,nr
其琛,nr
棋,n
棋错一着,i
棋福,nr
棋后,n
棋局,n
棋类,n
棋类室,n
棋联,j
棋迷,n
棋盘,n
棋赛,n
棋势,n
棋手,n
棋坛,n
棋王,n
棋校,n]nt
棋院,n]nt
棋子,n
奇,Ag,nr
奇材,n
奇才,n
奇峰,n
奇功,n
奇怪,v,a
奇观,n
奇寒,n
奇惠,nr
奇迹,n
奇景,n
奇绝,a
奇丽,a
奇卢巴,nr
奇妙,a
奇巧,a
奇缺,vn,v
奇人,n
奇山异水,i
奇生,nr
奇士谋臣,n
奇袭,v
奇险,a
奇秀,a
奇异,a
奇英成,nr
奇遇,n
奇冤,n
奇装异服,i
奇葆,nr
奇葩,n
奇崛壮阔,l
歧化酶,n
歧口１７—３,nz
歧口１８—１,nz
歧视,v,vn
歧视性,n
歧途,n
歧异,n
崎岖,a
脐部,n
脐带,n
齐,nr,d,a,v
齐备,a
齐步,d
齐尔品,nr
齐格勒,nr
齐家治国平天下,i
齐肩,v
齐力,ad
齐鸣,v
齐名,v
齐齐,nr
齐齐哈尔,ns
齐齐哈尔队,nt
齐全,a
齐声,d
齐刷刷,z
齐陶,nr
齐头并进,i
齐心,a,ad
齐心协力,i
齐胸,v
齐整,a
齐抓共管,l
旗,n,n]ns
旗杆,n
旗号,n
旗绳,n
旗手,n
旗头,nz
旗帜,n
旗帜鲜明,i
旗子,n
祈,Vg
祈祷,v,vn
祈福,v
祈求,v
祈愿,v
祁,nr
祁连山,ns
祁涛,nr
祁阳县,ns
骑,v
骑兵,n
骑车,v
骑车人,n
骑警,n
骑马,v
骑士,n
起,v,f,q,nr
起步,v,vn
起草,v,vn
起超,nr
起程,v
起初,d
起床,v
起到,v
起点,n
起点站,n
起帆,nr
起飞,v,vn
起伏,v,vn
起伏跌宕,l
起航,v
起和,nr
起河,nr
起火,v,vn
起家,v
起价,n
起降,v,vn
起劲,a
起敬,v
起居,n
起居室,n
起居厅,n
起来,v
起立,v
起落,v
起码,b,d
起锚,v
起孟,nr
起起伏伏的,z
起色,n
起身,v
起始,v,vn
起死回生,i
起诉,v,vn
起诉科,n
起诉书,n
起诉状,n
起跳,v
起跳台,n
起舞,v
起先,d
起义,v,vn
起因,n
起用,v
起源,n
起源于,v
起早贪黑,i
起重,b
岂,d
岂但,c
岂能,v
岂因祸福避趋之,l
岂止,v
乞力马扎罗山,ns
乞求,v
企,j
企鹅,n
企管,j
企划厅,n]nt
企获,v
企盼,v,vn
企求,v
企事业,n
企图,v,vn
企望,v
企业,n
企业管理者,n
企业化,vn,vd,v
企业家,n
企业界,n
企业经营者,n
企业主,n
启,v,nr,Vg
启彬,nr
启昌,nr
启超,nr
启程,nr,v
启德,nr
启迪,v,vn
启动,v,vn
启动力,n
启发,v,vn
启发性,n
启封,vn
启功,nr
启恒,nr
启宏,nr
启君,nr
启口,v
启立,nr
启亮,nr
启林,nr
启美,nr
启蒙,vn
启民,nr
启明,nr
启幕,v
启权,nr
启人,nr
启荣,nr
启示,v,vn
启事,n
启彤,nr
启旺,nr
启伟,nr
启文,nr
启雄,nr
启用,v
启玉,nr
启元,nr
启运,v
启琛,nr
启楣,nr
契合点,n
契机,n
契税,n
契约,n
契约化,vn
契诃夫,nr
砌,v
砌起,v
器背,n
器材,n
器底,s
器官,n
器件,n
器具,n
器乐,n
器乐曲,n
器械,n
器形,n
气,n,v
气昂昂,z
气冲冲,z
气喘,n
气喘吁吁,i
气垫,n
气动,b
气度,n
气氛,n
气愤,a
气概,n
气功,n
气管炎,n
气贯长虹,i
气柜,n
气浩,nr
气候,n
气呼呼,z
气化,v,vn
气急败坏,i
气节,n
气绝身亡,l
气冷,n
气力,n
气流,n
气馁,a
气派,an,a
气魄,n
气球,n
气盛,a
气势,n
气势磅礴,i
气势恢宏,l
气体,n
气味,n
气温,n
气息,n
气象,n
气象局,n]nt
气象台,n]nt,n
气象卫星,n
气象学,n
气血,n
气压,n
气焰,n
气宇,n
气韵,n
气质,n
迄,Vg
迄今,d
迄今为止,l
弃,Vg
弃儿,n
弃权,v
弃械投降,l
汽车,n
汽车兵,n
汽车厂,n]nt
汽车团,n,n]nt
汽车业,n
汽车业界,n
汽车站,n,n]ns
汽笛,n
汽笛声,n
汽技改,j
汽轮机,n
汽配,j
汽水,n
汽修厂,j]nt
汽油,n
汽油费,n
汽油味,n
泣不成声,i
掐,v
恰,d
恰贝·次旦平措,nr
恰当,a,ad
恰到好处,i
恰逢,v
恰好,d
恰帕斯州,ns
恰恰,d
恰恰相反,c
恰巧,d
恰如,v
恰似,v
洽,nr
洽谈,v,vn
洽谈会,n
牵,v
牵肠挂肚,i
牵扯,v
牵动,v,vn
牵挂,v,vn
牵连,v
牵涉,v
牵涉面,n
牵头,v
牵线搭桥,l
牵引,vn,v
牵引车,n
牵制,vn,v
钎,Ng
铅,n
铅笔,n
铅笔盒,n
铅封,n
铅块,n
铅矿,n
铅山县,ns
千,m,nr
千百,m
千百万,m
千变万化,i
千差万别,i
千锤百炼,i
千岛湖,ns
千方百计,i
千分之几,m
千佛山,ns
千伏,q
千伏安,q
千古,n
千古不灭,l
千古兴亡,l
千禾,nr
千红,nr
千呼万唤,i
千家万户,i
千金,n
千军,n
千军万马,i
千克,q
千里冰封,l
千里马,n
千里明杯,nz
千里迢迢,i
千米,q
千难万难,i
千年一遇,l
千奇百怪,i
千千万万,m
千秋,n
千秋万载,l
千山万水,i
千山万壑,i
千丝万缕,i
千头万绪,i
千瓦,q
千瓦时,q
千万,m,d
千言万语,i
千一,nr
千载难逢,i
千兆比特／秒,q
千折百回,l
千姿百态,i
迁,v,nr
迁出,v
迁都,v
迁进,v
迁就,v
迁居,v
迁入,vn,v
迁移,vn,v
迁徙,vn,v
签,v,n
签定,v
签订,v,vn
签发,v
签名,v,vn
签署,v,vn
签约,v,vn
签证,n
签字,v,vn
签字权,n
谦,nr,Vg
谦恭,a
谦让,v,vn
谦祥益,nz
谦虚,an,a
谦虚谨慎,i
谦逊,a
乾,nr
乾二,nr
乾光,nr
乾坤,n
乾隆,nz,nr
黔,j
黔北,ns
黔江,ns
黔驴技穷,i
黔西南州,ns
钱,n,nr
钱包,n
钱财,n
钱潮,nz
钱袋,n
钱德里卡·库马拉通加,nr
钱江,ns
钱江杯,nz
钱津,nr
钱排,ns
钱排镇,ns
钱物,n
钱坂村,ns
钳工,n
钳制,v
前,f,h,v
前半年,t
前辈,n
前边,f
前不久,t
前车之覆,l
前车之鉴,i
前程,n
前程锦绣,l
前程似锦,l
前端,f
前段,t
前额,n
前方,s,f
前锋,n
前赴后继,i
前刚,nr
前功尽弃,i
前后,f
前后文,n
前呼后拥,i
前话,j
前机,n
前进,v,vn,nz
前进不懈,l
前景,n
前宽,nr
前来,v,vd
前列,n
前茅,n
前门,ns
前面,f
前明,nr
前年,t
前排,s
前仆后继,i
前期,f
前妻,n
前人,n
前任,b
前哨,n
前身,n
前所未闻,i
前所未有,i
前台,n
前堂,s
前提,n
前天,t
前厅,s
前头,f
前途,n
前途无量,l
前瓦村,ns
前往,v
前委,j,j]nt
前卫,n
前无古人,i
前夕,f
前贤,n
前线,s
前巷队,nt]nt
前些年,t
前行,v
前胸袋,n
前言不搭后语,i
前沿,s
前沿性,n
前夜,t
前一天,t
前营村,ns
前元庄,ns
前瞻性,n
前兆,n
前者,r
前指,j
前置,v
前周,t
前奏,n
潜,Vg,nr
潜堤,n
潜伏,vn,v
潜伏期,t
潜力,n
潜流,n
潜能,n
潜入,v
潜水,v,vn
潜水员,n
潜台词,n
潜逃,v
潜艇,n
潜心,d
潜移默化,i
潜意识,n
潜油,n
潜在,b,v
潜质,n
遣返,vn,v
遣散,vn,v
遣送,v
浅,a,ad
浅薄,a
浅表,b
浅尝辄止,i
浅海,n
浅黄,b
浅绿,b
浅绿色,n
浅析,v
浅显,a
浅吟低唱,i
浅棕,b
谴责,v,vn
嵌,v
嵌刻,v
嵌镶,v
欠,v
欠费,n
欠佳,a
欠款,n
欠款额,n
欠款人,n
欠缺,an,v
欠税,n
欠债,v,vn
欠账,vn,v
歉,Ag
歉收,vn,v
歉意,n
枪,n,q
枪毙,v
枪弹,n
枪击,vn,v
枪决,v
枪杀,vn
枪声,n
枪手,n
枪支,n
呛,v
腔,q,Ng
羌族,nz
墙,n
墙板,n
墙壁,n
墙角,n
墙皮,n
墙上,s
墙体,n
墙头,n
强,ad,a,nr,Ng,Vg
强巴阿擦热,nz
强暴,v,n
强拆,vn
强词夺理,i
强大,a,an
强盗,n
强调,v,vd,vn
强度,n
强渡,v
强俄巴·多吉欧珠,nr
强攻,vn
强国,v,n,vn,nr
强悍,a
强化,v,vn,vd
强记,v
强加,v
强奸,v
强健,a
强劲,an,a
强力,n
强烈,a,ad,an
强令,v
强买强卖,l
强迫,v,vd
强迫症,n
强强,nr
强强联合,l
强求,v
强权,n
强权政治,l
强弱,n
强身,v
强盛,a
强势,n
强手,n
强手如林,l
强台风,n
强县,v
强项,n
强行,d
强业,nz
强音,n
强硬,a
强硬派,n
强有力,l
强者,n
强震,n
强直,ad
强制,v,vn
强制性,b
强壮,a,v
强子,n
抢,v
抢吃,v
抢道,v
抢夺,v
抢购,v
抢购一空,l
抢光,v
抢建,v
抢劫,vn,v
抢劫犯,n
抢救,v,vn
抢枪,v
抢手货,n
抢滩,v
抢跳,v
抢先,v
抢险,v,vn
抢险车,n
抢修,vn,v
抢修队,n
抢眼,a
抢运,v
抢占,v
抢走,v
锹,n
敲,v
敲打,v
敲定,v
敲击,v
敲门,v
敲响,v,vn
敲诈,v
悄悄,d
悄悄然,z
悄然,d
悄然无声,l
悄无声息,l
桥,n,nr
桥板,n
桥本,nr
桥本龙太郎,nr
桥党,n
桥殿飞虹,n
桥墩,n
桥栏杆,n
桥梁,n
桥名,n
桥牌,n
桥牌赛,n
桥隧,n
桥台,n
桥头,s
桥头堡,n
桥下,s
瞧,v
瞧不起,v
瞧瞧,v
乔,nr
乔波,nr
乔丹,nr
乔尔贝亚,nr
乔木,n
乔迁,v,vn
乔迁之喜,i
乔森,nr
乔亚德科列,ns
乔治,nz
乔治·索罗斯,nr
乔治·韦拉,nr
乔治王岛,ns
乔治亚岛,ns
侨,j,Ng
侨办,j]nt
侨胞,n
侨汇,n
侨界,n
侨眷,n
侨联,j]nt
侨领,n
侨民,n
侨情,n
侨社,n
侨声,n
侨属,n
侨团,j
侨务,n
侨乡,n
巧,a,ad
巧夺天工,i
巧芳,nr
巧妇,n
巧合,v
巧克力,n
巧莉,nr
巧立名目,i
巧妙,a
巧取豪夺,i
巧手,n
巧笑倩兮,i
巧银,nr
巧友,nz
撬,v
翘,v,nr
翘首,v
峭拔,a
峭壁,n
峭岩,nr
俏,a,ad
俏丽,a
俏皮话,n
切,v,d
切除,v
切磋,v
切断,v
切尔诺梅尔金,nr
切尔西,ns
切肤之痛,i
切割,v
切合,v
切换,vn,v
切记,v
切忌,v
切口,n
切梅索娃,nr
切莫,d
切纳洛市,ns
切切实实,z
切入,v
切入点,n
切入口,n
切身,d,b
切身利益,l
切实,a,ad
切实可行,l
切削,v
切支丹,nr
切中,v
茄子,n
且,c,d
且不说,c
且慢,l
且慢派,n
且末县,ns
怯,a
怯懦,an
窃,Vg
窃听,v
窃贼,n
钦,nr
钦敬,v
钦佩,v,vn
钦荣,nr
钦羡,v
钦岳,nr
钦哉,nr
钦州,ns
钦州港,ns
钦州市,ns
侵犯,v,vn
侵害,vn,v
侵略,vn,v
侵略军,n
侵略者,n
侵权,vn,v
侵入,vn,v
侵蚀,vn,v
侵吞,v
侵袭,vn
侵越,v
侵占,v,vn
亲,v,Ng,a,ad
亲爱,a
亲本,n
亲笔,d
亲笔信,n
亲和,a
亲见,v
亲近,vn,v
亲近感,n
亲口,d
亲历,v,vn
亲临,v
亲临感,n
亲密,a
亲密无间,i
亲朋,n
亲朋好友,l
亲戚,n
亲切,a,ad,an
亲切感,n
亲亲热热,z
亲情,n
亲热,a
亲人,n
亲日派,n
亲如一家,l
亲身,d,b
亲手,d
亲属,n
亲闻,v
亲吻,v
亲信,n
亲眼,d
亲眼目睹,l
亲英派,n
亲友,n
亲缘,n
亲自,d
亲昵,a
秦,nr,j,Tg
秦（皇岛）,ns
秦川,ns
秦代,t
秦都区,ns
秦坊村,ns
秦宫,n
秦淮河,ns
秦皇,nr
秦皇岛,ns
秦皇岛市,ns
秦军,nr
秦陵,ns
秦陵编,n
秦岭,ns
秦腔,n
秦腔戏,n
秦山,ns
秦始皇,nr
秦始皇帝,n
秦俑,n
秦俑学,n
琴,n
琴弦,n
勤,a,ad,Ng,nr
勤奋,a,ad,an
勤工俭学,l
勤俭,ad,a
勤俭持家,l
勤俭建国,l
勤俭节约,i
勤劳,ad,a,an
勤勉,ad
勤勤恳恳,z
勤务,n
勤务员,n
勤学苦练,i
勤于,v
勤杂工,n
勤政,n
勤政廉政,l
勤政为民,l
勤政者,n
芹菜,n
擒获,v
禽,Ng
禽蛋,n
禽流感,n
禽鸟,n
禽兽,n
禽畜,n
寝,Vg
寝不安席,i
寝食,n
寝食不安,l
寝食难安,l
沁出,v
沁水,ns
沁县,ns
沁源,ns
沁源县,ns
青,a,nr,j,Ng
青菜,n
青藏,j
青草,n
青草地,n
青长,nr
青城,ns
青春,n,nr
青春片,n
青瓷,n
青翠,a
青翠欲滴,l
青岛,ns
青岛港,ns
青岛市,ns
青灯,n
青峰,n
青工,n
青海,ns
青海省,ns
青红皂白,i
青花,n
青花瓷,n
青黄不接,i
青椒,n
青空,n
青枯病,n
青联,j,j]nt
青林,nr
青龙刀,n
青楼,n
青绿,b
青民,nr
青嫩,a
青年,n
青年报,n
青年队,n]nt
青年人,n
青年团,n]nt
青农部,j]nt
青浦,ns
青浦县,ns
青青,z
青山,n,nr
青山堡村,ns
青山冲,ns
青山绿水,i
青山区,ns
青山乡,ns
青山绫里,nr
青少年,n
青少年宫,n
青石板,n
青史,n
青丝,n
青松,nr
青苔,n
青田,ns
青铜,n
青铜器,n
青衣,n
青颖,nr
青玉,n
青云,n
青云直上,i
青州市,ns
青竹,n
青壮年,n
青卓,nr
青子,nr
青岚,n
青睐,v,vn
青稞,n
轻,ad,a,v,j
轻薄,a
轻便,a
轻车熟路,i
轻吃重玩,l
轻度,d
轻而易举,i
轻纺化,j
轻风,n
轻浮,a
轻工,n
轻工业,n
轻工业品,n
轻举妄动,i
轻快,a
轻率,ad,a,an
轻蔑,v
轻飘,a
轻骑,n
轻骑兵,n
轻骑队,n
轻桥,nz
轻轻,d,z
轻轻的,z
轻轻松松,z
轻取,v
轻柔,a
轻伤,n
轻声,ad,d
轻视,v
轻松,a,ad
轻体房,n
轻微,a
轻武器,n
轻喜剧,n
轻信,v
轻型,b
轻易,d
轻音乐,n
轻盈,a
轻重缓急,i
轻装,n,d
轻装简从,i
轻装简行,l
氢,Ng
氢气,n
倾,v
倾倒,v
倾家荡产,i
倾尽,v
倾盆大雨,i
倾诉,v
倾听,v
倾吐,v
倾向,v,n
倾向性,n
倾销,v
倾斜,v,vn
倾泻,vn,v
倾心,v,vd
倾注,v
卿,Ng
清,a,v,Tg
清白,a,an
清波,nr
清仓,v
清茶,n
清查,vn,v
清产核资,l
清偿,v
清唱,vn
清朝,t
清澈,a,an
清晨,t
清除,v,vn
清楚,a,v,nr,ad
清脆,a
清代,t
清单,n
清淡,a
清房办,j
清肺利胆,l
清费治乱减负,l
清丰,ns
清丰县,ns
清风,n
清福,n
清宫,n
清官,n
清河县,ns
清华,j,nr
清华大学,nt
清华园,ns
清剿,v
清洁,a,ad,v,vn
清洁费,n
清洁工,n
清洁员,n
清静,a
清净,a
清苦,a
清莱,ns
清理,vn,v
清丽,nr,z
清廉,a,an
清凉,a
清凉油,n
清亮,a
清林,nr
清流,n
清迈,ns
清明,a,t
清末,t
清盘,vn,v
清贫,an,a
清平乐,nz
清清,nr
清清楚楚,z
清清亮亮,z
清泉,nr,n
清热解暑,l
清人,n
清嗓润肺,l
清扫,v,vn
清扫工,n
清史,nz
清瘦,a
清爽爽,z
清水,n,nr
清水河,ns
清算,vn,v
清泰,n,nr
清退,v
清晰,a,ad
清晰度,n
清晰可见,l
清溪,n
清洗,v,vn
清闲,a
清香,n,a
清新,a,an
清心,a
清醒,a,an,ad
清醒剂,n
清秀,a
清虚观,n
清阳,nr
清一色,i
清银,nr
清淤,v
清源,nr
清运车,n
清早,t
清障车,n
清照,nr
清真,b
清真寺,n,n]ns
清正,a
清正廉洁,l
清忠,nr
清冽,a
清洌洌,z
清妍,a
擎,v
擎天,v
晴,v,nr
晴到多云,l
晴到少云,l
晴好,a
晴间多云,l
晴空,n
晴空万里,l
晴朗,a
晴棠,nr
晴天,n
晴雨表,n
晴祺,nr
情,n
情报,n
情报界,n
情报局,n,n]nt
情报署,n]nt
情报所,n]nt,n
情变,n
情不自禁,i
情操,n
情潮,n
情仇,n
情调,n
情感,n
情歌,n
情话,n
情怀,n
情节,n
情节化,vn
情节线,n
情节性,n
情结,n
情景,n
情境,n
情况,n
情理,n
情理之中,l
情面,n
情趣,n
情人,n
情人楼,n
情势,n
情思,n
情丝,n
情同手足,i
情投意合,i
情形,n
情绪,n
情意,n
情谊,n
情有独钟,l
情缘,n
情韵,n
情真意切,l
情真意挚,l
情致,n
情质,n
情愫,n
情殇,v
顷,q
顷刻,d
顷刻间,t
请,v
请假,v
请柬,n
请教,v,vn
请客,v
请来,v
请求,n,vn,v
请示,v,vn
请问,v
请勿,v
请缨,v
请战,v
庆,Vg,nr
庆斌,nr
庆播,nr
庆才,nr
庆朝,nr
庆成,nr
庆春,v,nr
庆存,nr
庆典,n
庆典型,n
庆锋,nr
庆功,vn
庆功曲,n
庆河,nr
庆贺,v,vn
庆红,nr
庆辉,nr
庆回归,v
庆凯,nr
庆丽,nr
庆利,nr
庆链,nr
庆梁,nr
庆林,nr
庆龄,nr
庆龙,nr
庆录,nr
庆宁,nr
庆平,nr
庆申,nr
庆生,nr
庆霞,nr
庆祥,nr
庆新,nr
庆余,nr
庆源,nr
庆云,nr
庆芝,nr
庆周,nr
庆洲,nr
庆祝,v,vn
庆祝会,n
庆祝性,b
庆琏,nr
庆锵,nr
琼,j,nr,Ng
琼光,nr
琼浆,n
琼剧院,n]nt
琼山,ns
琼瑛,nr
穷,a,an,d,Vg,j
穷抖阔,l
穷根,n
穷根究底,i
穷光蛋,n
穷国,n
穷尽,v
穷困,a
穷帽,n
穷亲,n
穷人,n
穷山恶山,l
穷山恶水,i
穷源溯流,i
穷则思变,i
穷追,v
穷追不舍,i
穷追猛打,l
秋,Tg,nr,Ng
秋播,v
秋波,n
秋冬季,t
秋冬种,v
秋谷,nr
秋后,t
秋后算账,i
秋华,nr
秋季,t
秋菊,n
秋里,nr
秋林,nr
秋玲,nr
秋萍,nr
秋平,nr
秋千,n
秋日,t
秋山,nr
秋山生哉,nr
秋生,nr
秋收,vn,v
秋收起义,nz
秋天,t
秋田,nr
秋霞,nr
秋祥,nr
秋夜,t
秋英,nr
秋种,v
秋庄稼,n
丘,nr
丘岗,n
丘陵,n
丘陵区,n
丘鹬,n
邱,nr
邱北,ns
邱北县,ns
邱县,ns
球,n
球场,n
球蛋白,n
球道,n
球队,n
球技,n
球类,n
球类室,n
球粒,n
球迷,n
球情,n
球赛,n
球市,n
球星,n
球员,n
求,v
求得,v
求购者,n
求婚,v
求教,v
求进,v
求谋问计,l
求情,v
求饶,v
求人,v
求生,v
求实,v,vn
求是,nz
求索,vn,v
求同存异,i
求我,nr
求仙记,n
求新,v
求学,vn,v
求业,v
求医,v
求异,v
求雨,v
求援,v
求援者,n
求真,v
求真务实,l
求知,v,vn
求知若渴,i
求之不得,i
求职,vn,v
求职者,n
求治,v
求助,vn,v
求助信,n
囚,Vg
囚犯,n
囚徒,n
酋长国,n]ns
泅渡,v
趋,Vg
趋利避害,i
趋利性,n
趋势,n
趋同,vn,v
趋向,v,n,vn
趋向性,n
趋于,v
区,n,nr
区别,v,n,vd
区长,n
区带,n
区党委,n
区段,n
区分,v,vn
区划,n
区划图,n
区级,b
区际,n
区间,n
区界,n
区块,n
区内外,f
区区,z,b
区属,b
区委,n]nt,n
区位,n
区域,n
区域化,vn,v
区域性,n
区政府,n]nt,n
区直,j
曲,Ng,nr,q,n
曲比阿乌,nr
曲辞,n
曲调,n
曲解,v
曲径通幽,i
曲靖,ns
曲目,n
曲谱,n
曲曲弯弯,z
曲线,n
曲艺,n
曲艺团,n]nt,n
曲印,nr
曲折,a,an
曲终人散,l
曲子,n
躯,Ng
躯干,n
躯体,n
屈,nr,v
屈从,v
屈服,v
屈居,v
屈辱,n
屈原,nr
屈指可数,i
驱,Vg
驱车,v,vd
驱动,vn,v
驱动力,n
驱动器,n
驱赶,v
驱散,v
驱使,v,vn
驱邪,v
驱逐,v
驱逐舰,n
驱逐舰长,n
渠,n
渠道,n
渠网,n
取,v,vn
取保,v,vn
取报,v
取材,v
取出,v
取存款,j
取代,v
取得,v,vn
取缔,vn,v
取而代之,i
取回,v
取静集,n
取决,v
取决于,v
取款,v
取乐,v
取名,v
取暖,v,vn
取暖器,n
取荣,nr
取舍,vn
取胜,v,vn
取水,v
取水口,n
取土,v
取息,v
取向,n
取消,v
取信,v
取信于民,l
取样,vn
取证,vn,v
取之不尽,i
娶,v
龋齿,n
趣,Ag,Ng
趣事,n
趣味,n
趣味性,n
趣闻,n
去,v
去除,v
去处,n
去掉,v
去冬,t
去留,v
去路,n
去年,t
去年初,t
去年底,t
去年末,t
去秋,t
去世,v
去岁,t
去夏,t
去耦,vn
圈,n,q,v
圈点,v
圈定,v
圈套,n
圈养,vn,v
圈子,n
权,nr,n
权贵,n
权衡,v
权利,n
权力,n
权力电,n
权龄,nr
权势,n
权势电,n
权属,n
权威,n,a
权威性,n
权限,n
权宜之计,i
权益,n
权益部,n]nt
权域,nr
权责,n
权智,nz
泉,Ng,nr
泉城,ns
泉池,n
泉林,ns
泉龙,nr
泉生,nr
泉水,n
泉源,nr
泉州,ns
全,d,a,nr
全班,n
全部,m
全场,n
全长,n
全厂,n
全程,n
全村,n
全村人,n
全党,n
全东,nr
全都,d
全队,n
全额,n
全方位,n
全封闭,b
全封闭式,n
全福,n
全港,n
全攻全守,l
全馆,n
全国,n,nr
全国性,n
全会,n
全集,n
全家,n
全家福,n
全家人,n
全歼,vn
全京,nr
全景,n,nr
全景式,n
全境,n
全局,n
全局性,n
全剧,n
全军,n
全矿,n
全立交,b
全力,d,nz,n
全力以赴,i
全良,nr
全路,n
全貌,n
全美,n
全面,ad,a
全民,n
全民公决,l
全民性,n
全能,n
全能化,v
全能型,n
全年,n
全盘,d
全球,n
全球化,vn,v
全球化史,n
全球性,n
全区,n
全权,n
全然,d
全日,n
全日空,nz
全日空杯,nz
全日制,n
全身,n
全身心,d
全身性,n
全省,n
全世界,n
全市,n
全市性,n
全书,n
全顺,nz,nr
全唐诗,n
全套,n
全体,n
全天候,b,d
